urlPath,status,title,description,canonical,robots,hasPrerenderFallback,htmlFile
/,ok,"Booking Software for UK Salons, Spas & Barbers | Elite Booker","Commission-free booking software for UK beauty and wellness businesses. Online scheduling, SMS reminders, deposits and client management. Plans from GBP 0.",https://www.elitebooker.co.uk/,"index, follow",yes,dist/index.html
/pricing,ok,Salon Software Pricing UK | No Hidden Booking Fees | Elite Booker,Simple pricing for UK salons. Free Basic plan forever. Professional GBP 9.99/month. Enterprise GBP 49.99/month. No commission and no contracts.,https://www.elitebooker.co.uk/pricing,"index, follow",yes,dist/pricing/index.html
/compare,ok,Elite Booker Comparisons | Fresha & Treatwell Alternatives,Compare Elite Booker against Fresha and Treatwell with clear UK pricing and feature breakdowns.,https://www.elitebooker.co.uk/compare,"index, follow",yes,dist/compare/index.html
/compare/vs-fresha,ok,Elite Booker vs Fresha | UK Pricing & Fee Comparison,"Source-linked UK comparison page covering subscription, commission, payment, and SMS pricing structure between Elite Booker and Fresha.",https://www.elitebooker.co.uk/compare/vs-fresha,"index, follow",yes,dist/compare/vs-fresha/index.html
/compare/vs-treatwell,ok,Elite Booker vs Treatwell | UK Pricing & Commission Comparison,"Source-linked UK comparison page covering subscription tiers, commission model, and booking-cost structure between Elite Booker and Treatwell.",https://www.elitebooker.co.uk/compare/vs-treatwell,"index, follow",yes,dist/compare/vs-treatwell/index.html
/salon-booking-software-uk,ok,Salon Booking Software UK | Online Appointments for Growing Teams,"UK salon booking software for online appointments, reminders, deposits, and team scheduling.",https://www.elitebooker.co.uk/salon-booking-software-uk,"index, follow",yes,dist/salon-booking-software-uk/index.html
/barbershop-booking-software-uk,ok,Barbershop Booking Software UK | Fill Chairs and Reduce Gaps,"UK barbershop booking software with online appointments, slot controls, reminders, and staff scheduling.",https://www.elitebooker.co.uk/barbershop-booking-software-uk,"index, follow",yes,dist/barbershop-booking-software-uk/index.html
/nail-salon-booking-software-uk,ok,"Nail Salon Booking Software UK | Appointments, Reminders, Deposits","UK nail salon booking software to manage appointments, add-ons, reminders, and deposit rules.",https://www.elitebooker.co.uk/nail-salon-booking-software-uk,"index, follow",yes,dist/nail-salon-booking-software-uk/index.html
/beauty-salon-booking-system-uk,ok,"Beauty Salon Booking System UK | Scheduling, Reminders, Team Control","Beauty salon booking system for UK businesses with online scheduling, reminders, and policy controls.",https://www.elitebooker.co.uk/beauty-salon-booking-system-uk,"index, follow",yes,dist/beauty-salon-booking-system-uk/index.html
/hairdresser-booking-software-uk,ok,Hairdresser Booking Software UK | Online Diary for Hair Teams,"Hairdresser booking software in the UK for consultation-led services, reminders, and scheduling controls.",https://www.elitebooker.co.uk/hairdresser-booking-software-uk,"index, follow",yes,dist/hairdresser-booking-software-uk/index.html
